base_time_seconds, increment, event_type, game_time_class, game_type, rank, rating, score, url, user, year
300,0,arena,blitz,chess,4,1983,11,"https://www.chess.com/tournament/live/arena/-2406-3479083",elenovo,2024
120,1,arena,lightning,chess,2,1666,33,"https://www.chess.com/tournament/live/arena/-1806-3463257",elenovo,2024
300,0,arena,blitz,chess,7,1983,2,"https://www.chess.com/tournament/live/arena/-1706-3462409",elenovo,2024
300,2,arena,blitz,chess960,1,1651,18,"https://www.chess.com/tournament/live/arena/-960-3448705",elenovo,2024
300,0,arena,blitz,chess,3,1983,23,"https://www.chess.com/tournament/live/arena/-1006-3447298",elenovo,2024
180,2,arena,blitz,chess,2,1983,8,"https://www.chess.com/tournament/live/arena/-0504-3315718",elenovo,2024
300,0,arena,blitz,chess,2,1983,33,"https://www.chess.com/tournament/live/arena/-0104-3303830",elenovo,2024
300,2,arena,blitz,chess960,3,1540,16,"https://www.chess.com/tournament/live/arena/-960-3823083",Valyo1954,2024
180,2,arena,blitz,chess,2,1586,17,"https://www.chess.com/tournament/live/arena/-2111-3812089",Valyo1954,2024
600,0,arena,standard,chess,9,1695,7,"https://www.chess.com/tournament/live/arena/---2011-3810529",Valyo1954,2024
120,1,arena,lightning,chess,2,1575,17,"https://www.chess.com/tournament/live/arena/--1911-3809763",Valyo1954,2024
180,2,arena,blitz,chess,10,1586,9,"https://www.chess.com/tournament/live/arena/---1411-3793821",Valyo1954,2024
600,0,arena,standard,chess,2,1695,18,"https://www.chess.com/tournament/live/arena/---1311-3792569",Valyo1954,2024
120,1,arena,lightning,chess,4,1575,16,"https://www.chess.com/tournament/live/arena/---1211-3791277",Valyo1954,2024
300,2,arena,blitz,chess960,10,1540,2,"https://www.chess.com/tournament/live/arena/-960-3786767",Valyo1954,2024
180,2,arena,blitz,chess,8,1586,2,"https://www.chess.com/tournament/live/arena/---0711-3785965",Valyo1954,2024
120,1,arena,lightning,chess,2,1575,39,"https://www.chess.com/tournament/live/arena/---0511-3783529",Valyo1954,2024
300,0,arena,blitz,chess,6,1586,4,"https://www.chess.com/tournament/live/arena/---0411-3782447",Valyo1954,2024
180,2,arena,blitz,chess960,5,1540,5,"https://www.chess.com/tournament/live/arena/-960---01-11-3779253",Valyo1954,2024
180,2,arena,blitz,chess,6,1586,10,"https://www.chess.com/tournament/live/arena/---3110-3767651",Valyo1954,2024
600,0,arena,standard,chess,5,1695,11,"https://www.chess.com/tournament/live/arena/---3010-3766399",Valyo1954,2024
